earn_low,earn_high,credit_qc0,credit_qc1,credit_qc2,credit_qc3
51,100,5,22,26,29
101,150,8,36,43,48
151,200,11,51,60,67
201,250,15,65,77,86
251,300,18,80,94,105
301,350,21,94,111,125
351,400,24,109,128,144
401,450,28,123,145,163
451,500,31,137,162,182
501,550,34,152,179,201
551,600,37,166,196,220
601,650,41,181,213,239
651,700,44,195,230,258
701,750,47,210,247,278
751,800,50,224,264,297
801,850,54,239,281,316
851,900,57,253,298,335
901,950,60,267,315,354
951,1000,63,282,332,373
1001,1050,67,296,349,392
1051,1100,70,311,366,411
1101,1150,73,325,383,431
1151,1200,76,340,400,450
1201,1250,80,354,417,469
1251,1300,83,369,434,488
1301,1350,86,383,451,507
1351,1400,89,398,468,526
1401,1450,93,412,485,545
1451,1500,96,426,502,564
1501,1550,99,441,519,584
1551,1600,102,455,536,603
1601,1650,106,470,553,622
1651,1700,109,484,570,641
1701,1750,112,499,587,660
1751,1800,115,513,604,679
1801,1850,119,528,621,698
1851,1900,122,542,638,717
1901,1950,125,556,655,737
1951,2000,128,571,672,756
2001,2050,132,585,689,775
2051,2100,135,600,706,794
2101,2150,138,614,723,813
2151,2200,141,629,740,832
2201,2250,145,643,757,851
2251,2300,148,658,774,870
2301,2350,151,672,791,890
2351,2400,154,687,808,909
2401,2450,158,701,825,928
2451,2500,161,715,842,947
2501,2550,164,730,859,966
2551,2600,167,744,876,985
2601,2650,171,759,893,1004
2651,2700,174,773,910,1023
2701,2750,177,788,927,1043
2751,2800,180,802,944,1062
2801,2850,184,817,961,1081
2851,2900,187,831,978,1100
2901,2950,190,845,995,1119
2951,3000,193,860,1012,1138
3001,3050,197,874,1029,1157
3051,3100,200,889,1046,1176
3101,3150,203,903,1063,1196
3151,3200,206,918,1080,1215
3201,3250,210,932,1097,1234
3251,3300,213,947,1114,1253
3301,3350,216,961,1131,1272
3351,3400,219,976,1148,1291
3401,3450,223,990,1165,1310
3451,3500,222,1004,1182,1329
3501,3550,219,1019,1199,1349
3551,3600,216,1033,1216,1368
3601,3650,212,1048,1233,1387
3651,3700,209,1062,1250,1406
3701,3750,206,1077,1267,1425
3751,3800,203,1091,1284,1444
3801,3850,199,1106,1301,1463
3851,3900,196,1120,1318,1482
3901,3950,193,1134,1335,1502
3951,4000,190,1149,1352,1521
4001,4050,186,1163,1369,1540
4051,4100,183,1178,1386,1559
4101,4150,180,1192,1403,1578
4151,4200,177,1207,1420,1597
4201,4250,173,1221,1437,1616
4251,4300,170,1236,1454,1635
4301,4350,167,1250,1471,1655
4351,4400,164,1265,1488,1674
4401,4450,160,1279,1505,1693
4451,4500,157,1293,1522,1712
4501,4550,154,1308,1539,1731
4551,4600,151,1322,1556,1750
4601,4650,147,1337,1573,1769
4651,4700,144,1351,1590,1788
4701,4750,141,1366,1607,1808
4751,4800,138,1380,1624,1827
4801,4850,134,1395,1641,1846
4851,4900,131,1409,1658,1865
4901,4950,128,1423,1675,1884
4951,5000,125,1438,1692,1903
